Clapeyron Database File,,,,,,,
RefpropRES_viscosity Like Parameters,,,,,,,
species,ξ,n1,n2,n3,n4,source
"butadiene~|~1,3-butadiene",1.0,-0.017021,0.222555,0.00586,-0.000968,10.1007/s10765-022-03096-9
butene~|~1-butene,1.0,-0.568834,1.260511,-0.530198,0.079007,10.1007/s10765-022-03096-9
butyne~|~1-butyne~|~ethylacetylene,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
pentene~|~1-pentene,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"2,2-dimethylbutane",1.0,-0.41893,1.432587,-0.754272,0.136166,10.1007/s10765-022-03096-9
"2,3-dimethylbutane",1.0,-0.236495,0.611806,-0.167783,0.018056,10.1007/s10765-022-03096-9
3-methylpentane,1.0,-0.319195,1.092907,-0.523287,0.085641,10.1007/s10765-022-03096-9
acetone~|~propanone,1.0,-0.501124,1.194414,-0.521023,0.079149,10.1007/s10765-022-03096-9
ethine~|~ethyne~|~acetylene,0.9987,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
ammonia,1.0,-0.376313,0.720574,-0.249516,0.040922,10.1007/s10765-022-03096-9
argon,1.0,0.259438,-0.351232,0.501277,-0.104356,10.1007/s10765-022-03096-9
benzene,1.0,-0.382425,0.724804,-0.179889,0.0153,10.1007/s10765-022-03096-9
butane~|~n-butane,1.0,-0.25964,0.710755,-0.231108,0.029646,10.1007/s10765-022-03096-9
undecane~|~n-undecane,1.0,-0.704023,1.144166,-0.400741,0.0476,10.1007/s10765-022-03096-9
dodecane~|~n-dodecane,1.0,-0.390227,0.768065,-0.259094,0.030017,10.1007/s10765-022-03096-9
hexadecane~|~n-hexadecane,1.0,-0.251917,0.59641,-0.197091,0.02196,10.1007/s10765-022-03096-9
methylcyclohexane,0.978,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
c22~|~docosane~|~n-docosane,1.1612,0.645294,-0.186122,0.041308,-0.002865,10.1007/s10765-022-03096-9
(z)-2-butene~|~cis-2-butene,1.0,-0.354195,1.18695,-0.579667,0.09736,10.1007/s10765-022-03096-9
propylcyclohexane~|~n-propylcyclohexane~|~1-cyclohexylpropane,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
perfluorobutane~|~decafluorobutane~|~n-perfluorobutane,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
perfluoropentane~|~n-perfluoropentane~|~perfluoro-n-pentane,0.8561,-0.368714,0.764423,-0.261237,0.031913,10.1007/s10765-022-03096-9
perfluorohexane~|~n-perfluorohexane~|~perfluoro-n-hexane,0.8883,-0.368714,0.764423,-0.261237,0.031913,10.1007/s10765-022-03096-9
r13i1~|~trifluoroiodomethane~|~iodotrifluoromethane,0.9398,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
cl2~|~chlorine,1.0,-1.263564,3.099758,-1.676284,0.295784,10.1007/s10765-022-03096-9
chlorobenzene~|~monochlorobenzene,1.0,-0.300023,0.705398,-0.234565,0.030712,10.1007/s10765-022-03096-9
methanal~|~formaldehyde,1.0,0.101609,-0.156239,0.440241,-0.113646,10.1007/s10765-022-03096-9
carbon dioxide,1.0,0.001398,0.040877,0.2506,-0.075953,10.1007/s10765-022-03096-9
carbonyl sulfide,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
cyclobutene,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
cyclohexane,1.0,-0.526095,1.671415,-0.897889,0.166776,10.1007/s10765-022-03096-9
cyclopentane,0.9492,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
cyclopropane,0.9563,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
deuterium,1.0,0.083331,0.286279,-0.604175,0.519011,10.1007/s10765-022-03096-9
water-d2~|~heavywater~|~deuterium oxide,1.0,-0.825882,1.539515,-0.785343,0.144697,10.1007/s10765-022-03096-9
d4~|~octamethylcyclotetrasiloxane,0.8414,0.645294,-0.186122,0.041308,-0.002865,10.1007/s10765-022-03096-9
d5~|~decamethylcyclopentasiloxane,0.8495,0.645294,-0.186122,0.041308,-0.002865,10.1007/s10765-022-03096-9
d6~|~dodecamethylcyclohexasiloxane,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"dea~|~diethanolamine~|~2,2'-diethanolamine",1.2999,-0.726184,1.369572,-0.652048,0.116681,10.1007/s10765-022-03096-9
decane~|~n-decane,1.0,-0.435268,0.876185,-0.314288,0.039133,10.1007/s10765-022-03096-9
diethyl ether,1.0,-0.372419,0.768991,-0.24437,0.027608,10.1007/s10765-022-03096-9
dimethyl carbonate~|~carbonic acid dimethyl ester,1.1864,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
dimethyl ether,1.0,-0.307048,0.687719,-0.196096,0.019352,10.1007/s10765-022-03096-9
ethylbenzene,1.0,-0.629068,1.217427,-0.48274,0.067534,10.1007/s10765-022-03096-9
"glycol~|~1,2-ethanediol~|~ethylene glycol",1.2171,-0.726184,1.369572,-0.652048,0.116681,10.1007/s10765-022-03096-9
ethane,1.0,-0.128502,0.476311,-0.076977,0.000889,10.1007/s10765-022-03096-9
ethanol,1.0,-0.852589,1.441829,-0.642822,0.10406,10.1007/s10765-022-03096-9
ethene~|~ethylene~|~1-ethylene,1.0,0.295887,-0.034282,0.109584,-0.018529,10.1007/s10765-022-03096-9
oxirane~|~ethyleneoxide,1.0,-0.056194,0.834574,-0.463712,0.089027,10.1007/s10765-022-03096-9
fluorine,1.0,0.025629,0.176291,0.127929,-0.038269,10.1007/s10765-022-03096-9
hydrogen sulfide,0.7577,-0.726184,1.369572,-0.652048,0.116681,10.1007/s10765-022-03096-9
hcl~|~hydrogen chloride~|~hydrochloric acid,1.0,0.542616,-1.177825,1.065538,-0.232856,10.1007/s10765-022-03096-9
helium~|~helium-4,1.6627,-0.449854,3.219854,-5.298638,2.975827,10.1007/s10765-022-03096-9
heptane~|~n-heptane,1.0,-0.3157,0.748377,-0.26297,0.033985,10.1007/s10765-022-03096-9
hexane~|~n-hexane,1.0,-0.316955,0.778418,-0.275857,0.035942,10.1007/s10765-022-03096-9
hydrogen,1.0,-1.206453,6.976684,-11.044067,5.578522,10.1007/s10765-022-03096-9
isobutene~|~isobutylene~|~2-methylpropene,1.0,-0.444833,1.048503,-0.428961,0.066669,10.1007/s10765-022-03096-9
isohexane~|~2-methylpentane,1.0,-0.532893,1.091236,-0.415373,0.056226,10.1007/s10765-022-03096-9
"isooctane~|~2,2,4-trimethylpentane",1.0,-0.270805,0.893555,-0.372847,0.055506,10.1007/s10765-022-03096-9
isopentane~|~methylbutane~|~2-methylbutane,1.0,-1.097359,1.833365,-0.720624,0.099021,10.1007/s10765-022-03096-9
isobutane~|~2-methylpropane,1.0,-0.221993,0.805091,-0.321556,0.051331,10.1007/s10765-022-03096-9
krypton,1.0,0.231878,-0.42185,0.70329,-0.194222,10.1007/s10765-022-03096-9
md2m~|~decamethyltetrasiloxane,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
md3m~|~dodecamethylpentasiloxane,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
md4m~|~tetradecamethylhexasiloxane,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
mdm~|~octamethyltrisiloxane,1.0,0.028762,0.24708,-0.033094,-0.001855,10.1007/s10765-022-03096-9
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,1.1803,-0.726184,1.369572,-0.652048,0.116681,10.1007/s10765-022-03096-9
methane,1.0,0.140367,-0.046685,0.2458,-0.050594,10.1007/s10765-022-03096-9
methanol,1.0,0.63648,-0.443842,0.121691,0.006254,10.1007/s10765-022-03096-9
*~|~milprf23699,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"methyllinoleate~|~methyl (z,z)-9,12-octadecadienate~|~(z,z)-9,12-octadecadienoic acid methyl ester",1.2573,0.645294,-0.186122,0.041308,-0.002865,10.1007/s10765-022-03096-9
"methyllinolenate~|~methyl (z,z,z)-9,12,15-octadecatrienoate",1.2762,0.645294,-0.186122,0.041308,-0.002865,10.1007/s10765-022-03096-9
mm~|~hexamethyldisiloxane,1.0,-0.279651,1.220999,-0.584716,0.086516,10.1007/s10765-022-03096-9
methyloleate~|~methyl cis-9-octadecenoate,1.1928,0.645294,-0.186122,0.041308,-0.002865,10.1007/s10765-022-03096-9
methyl palmitate~|~methyl hexadecanoate~|~hexadecanoicacidmethylester,1.0726,0.645294,-0.186122,0.041308,-0.002865,10.1007/s10765-022-03096-9
methyl stearate~|~methyl octadecanoate~|~octadecanoicacidmethylester,1.1142,0.645294,-0.186122,0.041308,-0.002865,10.1007/s10765-022-03096-9
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",1.0,-0.544321,1.024103,-0.384918,0.052733,10.1007/s10765-022-03096-9
nitrous oxide~|~dinitrogen monoxide,1.0,0.238669,-0.888434,1.380744,-0.51284,10.1007/s10765-022-03096-9
neon,1.0,-0.05349,0.212844,0.249905,-0.065619,10.1007/s10765-022-03096-9
"neopentane~|~2,2-dimethylpropane",1.0,0.578043,-0.63437,0.533785,-0.110045,10.1007/s10765-022-03096-9
nitrogen trifluoride,0.8347,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
nitrogen,1.0,0.189619,-0.254456,0.425706,-0.091456,10.1007/s10765-022-03096-9
nonane~|~n-nonane,1.0,-0.281994,0.798972,-0.313366,0.042291,10.1007/s10765-022-03096-9
"novec649~|~dodecafluoro-2-methylpentan-3-one~|~1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-3-pentanone",1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
octane~|~n-octane,1.0,-0.805538,1.334348,-0.496366,0.064006,10.1007/s10765-022-03096-9
orthohydrogen~|~ortho-hydrogen,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
oxygen,0.5852,0.101609,-0.156239,0.440241,-0.113646,10.1007/s10765-022-03096-9
"oxylene~|~o-xylene~|~1,2-dimethylbenzene",1.0,-0.645048,1.264604,-0.515565,0.074785,10.1007/s10765-022-03096-9
parahydrogen~|~para-hydrogen,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
pentane~|~n-pentane,1.0,-0.28407,0.816025,-0.313464,0.044544,10.1007/s10765-022-03096-9
*~|~poe5,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
*~|~poe7,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
*~|~poe9,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"propadiene~|~1,2-propadiene",1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
propane~|~n-propane,1.0,-0.447455,1.043338,-0.410156,0.061797,10.1007/s10765-022-03096-9
propene~|~propylene,1.0,-0.467544,1.248152,-0.571907,0.093538,10.1007/s10765-022-03096-9
"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",1.0753,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
propyne~|~1-propyne~|~methylacetylene,1.0116,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"pxylene~|~p-xylene~|~1,4-dimethylbenzene",1.0,-0.502268,0.962573,-0.351675,0.047166,10.1007/s10765-022-03096-9
r11~|~cfcl3~|~trichlorofluoromethane,1.0,-0.383059,0.948054,-0.356293,0.052278,10.1007/s10765-022-03096-9
r1123~|~trifluoroethene~|~trifluoroethylene,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane",1.0,-0.484778,1.163438,-0.477142,0.073278,10.1007/s10765-022-03096-9
"r114~|~1,2-dichlorotetrafluoroethane~|~1,2-dichloro-1,1,2,2-tetrafluoroethane",0.9748,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r115~|~chloroperfluoroethane~|~chloropentafluoroethane~|~1-chloro-1,1,2,2,2-pentafluoroethane",1.0,-0.126314,0.573158,-0.183284,0.02794,10.1007/s10765-022-03096-9
r116~|~perfluoroethane~|~hexafluoroethane,0.8675,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
r12~|~dichlorodifluoromethane,1.0,0.046502,0.092489,0.176708,-0.054179,10.1007/s10765-022-03096-9
r1216~|~perfluoropropene~|~hexafluoropropene~|~perfluoropropylene~|~hexafluoropropylene,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"cis-1-chloro-2,3,3,3-tetrafluoropropene~|~r1224yd(z)~|~r1224ydz",1.0,-0.247442,0.377731,0.035523,-0.02935,10.1007/s10765-022-03096-9
"r123~|~2,2-dichloro-1,1,1-trifluoroethane~|~1,1-dichloro-2,2,2-trifluoroethane",1.0,-0.254732,0.701225,-0.23003,0.029718,10.1007/s10765-022-03096-9
"r1233zde~|~r1233zd(e)~|~trans-1-chloro-3,3,3-trifluoropropene~|~(e)-1-chloro-3,3,3-trifluoroprop-1-ene~|~trans-1-chloro-3,3,3-trifluoro-1-propene",1.1249,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene~|~2,3,3,3-tetrafluoroprop-1-ene",1.0709,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene~|~(e)-1,3,3,3-tetrafluoroprop-1-ene",1.0,-0.271954,0.627868,-0.17358,0.017966,10.1007/s10765-022-03096-9
"r1234zez~|~r1234ze(z)~|~cis-1,3,3,3-tetrafluoropropene~|~(z)-1,3,3,3-tetrafluoro-1-propene~|~(z)-1,3,3,3-tetrafluoroprop-1-ene",1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r124~|~1-chloro-1,2,2,2-tetrafluoroethane~|~2-chloro-1,1,1,2-tetrafluoroethane",1.0,-0.792595,1.486421,-0.602246,0.08738,10.1007/s10765-022-03096-9
"r1243zf~|~3,3,3-trifluoropropene~|~3,3,3-trifluoro-1-propene~|~1,1,1-trifluoro-2-propene~|~3,3,3-trifluoropropylene (r1243zf)",1.15,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
r125~|~pentafluoroethane,1.0,-0.342489,0.784896,-0.25132,0.030741,10.1007/s10765-022-03096-9
r13~|~chlorotrifluoromethane,1.0,-0.374525,0.896176,-0.322568,0.045587,10.1007/s10765-022-03096-9
"(2z)-1,1,1,4,4,4-hexafluorobut-2-ene~|~r1336mzzz",1.0,-0.048441,-0.041878,0.288999,-0.077647,10.1007/s10765-022-03096-9
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",1.0,-0.2422,0.597796,-0.159025,0.016428,10.1007/s10765-022-03096-9
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,1.0,0.065405,0.013901,0.255525,-0.081542,10.1007/s10765-022-03096-9
"r141b~|~1,1-dichloro-1-fluoroethane",0.9976,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r142b~|~1-chloro-1,1-difluoroethane",1.0,-0.070931,0.151631,0.175283,-0.056545,10.1007/s10765-022-03096-9
"r143a~|~1,1,1-trifluoroethane",1.0,-0.100784,0.177178,0.177172,-0.061736,10.1007/s10765-022-03096-9
"dichloroethane~|~1,2-dichloroethane",1.0266,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r152a~|~difluoroethane~|~1,1-difluoroethane",1.0,-0.252717,0.57923,-0.142847,0.014116,10.1007/s10765-022-03096-9
r161~|~fluoroethane~|~ethyl fluoride,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
r21~|~chfcl2~|~dichlorofluoromethane,1.0,-0.368823,0.77972,-0.220997,0.020458,10.1007/s10765-022-03096-9
r218~|~perfluoropropane~|~octafluoropropane,1.0,-0.413098,0.896325,-0.309494,0.042448,10.1007/s10765-022-03096-9
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,1.0,-0.392734,0.942682,-0.364107,0.053545,10.1007/s10765-022-03096-9
"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",1.0596,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
r23~|~fluoroform~|~trifluoromethane,1.0,-0.328322,0.666185,-0.184776,0.020813,10.1007/s10765-022-03096-9
"r236ea~|~1,1,1,2,3,3-hexafluoropropane",1.0479,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r236fa~|~1,1,1,3,3,3-hexafluoropropane",1.0913,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r245ca~|~1,1,2,2,3-pentafluoropropane",1.0441,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r245fa~|~1,1,1,3,3-pentafluoropropane",1.0,-0.335358,0.819786,-0.306797,0.045028,10.1007/s10765-022-03096-9
r32~|~difluoromethane,1.1175,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r365mfc~|~1,1,1,3,3-pentafluorobutane",1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
r40~|~chloromethane~|~methyl chloride,1.0,-0.007418,-0.192097,0.514124,-0.145914,10.1007/s10765-022-03096-9
r41~|~fluoromethane~|~methyl fluoride,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
rc318~|~perfluorocyclobutane~|~octafluorocyclobutane,0.9804,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
re143a~|~hfe143m~|~trifluoromethoxymethane~|~trifluoromethyl methyl ether,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"1,1,1,2,2-pentafluoro-2-methoxyethane~|~re245cb2",1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"difluoromethyl 2,2,2-trifluoroethyl ether~|~re245fa2",1.1252,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"re347mcc~|~hfe347mcc~|~heptafluoro-1-methoxypropane~|~heptafluoropropyl methyl ether~|~1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",1.0812,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
sulfur hexafluoride,1.0,0.108901,-0.319451,0.606005,-0.16747,10.1007/s10765-022-03096-9
sulfur dioxide,1.0,0.28968,-0.710013,0.661319,-0.137567,10.1007/s10765-022-03096-9
(e)-2-butene~|~trans-2-butene,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
toluene,1.0,-0.731827,1.367906,-0.555558,0.08086,10.1007/s10765-022-03096-9
chloroethene~|~vinyl chloride,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
water,1.0,-0.669333,1.418565,-0.797172,0.160096,10.1007/s10765-022-03096-9
xenon,1.0,-0.489295,1.106419,-0.431597,0.088648,10.1007/s10765-022-03096-9
